resource_id,resource_name,resource_type,cpu_utilization,disk_read_bytes,disk_write_bytes,storage_used_gb,status,timestamp
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/CLOUD-COST-OPT/providers/Microsoft.Compute/disks/cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,Microsoft.Compute/disks,,0.0,0.0,0.0,unknown,2026-06-26 17:04:50.103047
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Compute/virtualMachines/cloud-cost-opt,cloud-cost-opt,Microsoft.Compute/virtualMachines,,0.0,0.0,0.0,unknown,2026-06-26 17:04:50.103043
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkInterfaces/cloud-cost-opt891_z1,cloud-cost-opt891_z1,Microsoft.Network/networkInterfaces,,0.0,0.0,0.0,unknown,2026-06-26 17:04:50.103038
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_centralindia,NetworkWatcher_centralindia,Microsoft.Network/networkWatchers,,0.0,0.0,0.0,unknown,2026-06-26 17:04:50.103033
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/virtualNetworks/cloud-cost-opt-vnet,cloud-cost-opt-vnet,Microsoft.Network/virtualNetworks,,0.0,0.0,0.0,unknown,2026-06-26 17:04:50.103028
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/publicIPAddresses/cloud-cost-opt-ip,cloud-cost-opt-ip,Microsoft.Network/publicIPAddresses,,0.0,0.0,0.0,unknown,2026-06-26 17:04:50.103022
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Network/networkSecurityGroups/cloud-cost-opt-nsg,cloud-cost-opt-nsg,Microsoft.Network/networkSecurityGroups,,0.0,0.0,0.0,unknown,2026-06-26 17:04:50.103015
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Storage/storageAccounts/cloudcostopt,cloudcostopt,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-06-26 17:04:50.103001
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/CLOUD-COST-OPT/providers/Microsoft.Compute/disks/cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,cloud-cost-opt_OsDisk_1_1f42ffb911074c529e7fcb2ec0aa22b4,Microsoft.Compute/disks,,0.0,0.0,0.0,unknown,2026-06-26 17:01:53.636366
/subscriptions/b918d096-c18b-4010-b5e2-28e636944fe8/resourceGroups/cloud-cost-opt/providers/Microsoft.Compute/virtualMachines/cloud-cost-opt,cloud-cost-opt,Microsoft.Compute/virtualMachines,,0.0,0.0,0.0,unknown,2026-06-26 17:01:53.636362
